CGPA,Semester,Faculty,Failed_Subjects,Attendance_Percentage,Study_Hours,Assignment_Submission,Lecture_Participation,Lab_Participation,Academic_Guidance,LMS_Logins,LMS_Hours,Class_Attendance_Range,Online_Resources_Use,Group_Contribution,Motivation_Phase1,Stress_Phase1,Sleep_Hours_Phase1,Confidence_Phase1,Social_Phase1,Relaxation_Phase1,Workload_Phase1,Motivation_Phase2,Stress_Phase2,Sleep_Hours_Phase2,Confidence_Phase2,Social_Phase2,Relaxation_Phase2,Workload_Phase2,Motivation_Phase3,Stress_Phase3,Sleep_Hours_Phase3,Confidence_Phase3,Social_Phase3,Relaxation_Phase3,Workload_Phase3,Motivation_Phase4,Stress_Phase4,Sleep_Hours_Phase4,Confidence_Phase4,Social_Phase4,Relaxation_Phase4,Workload_Phase4,Age,Gender,Part_Time_Job,Travel_Time,Family_Support,Living_Arrangement,Considered_Dropout,Challenges,Enrollment_Status
2.7,8th Semester,Computing,5 or more,5,0-5 hours,51-75%,3,3,"Yes, occasionally",3-5 times,3-5 hours,26-50%,Often,4,3,3,6-7 hours,5,5,3-5 hours,3,4,4,6-7 hours,4,3,6-8 hours,4,3,3,6-7 hours,4,5,6-8 hours,3,3,3,6-7 hours,4,5,6-8 hours,3,25,Male,Yes,31-60 minutes,5,With family,No,"Lack of proper academic guidance, Poor time management",Studying
3.55,8th Semester,Computing,0,3,0-5 hours,76-100%,1,1,Not at all,0-2 times,0-2 hours,0-25%,Very Often,5,1,1,6-7 hours,5,2,More than 12 hours,1,5,5,0-3 hours,5,1,0-2 hours,1,5,5,More than 9 hours,5,1,3-5 hours,1,5,5,More than 9 hours,5,1,0-2 hours,1,25,Male,Yes,61-90 minutes,5,Alone,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Financial problems, Poor time management",Studying
3.63,8th Semester,Computing,0,8,0-5 hours,76-100%,5,5,"Yes, occasionally",0-2 times,0-2 hours,51-75%,Very Often,5,5,1,More than 9 hours,5,5,More than 12 hours,1,4,1,More than 9 hours,5,5,More than 12 hours,2,3,1,More than 9 hours,5,5,More than 12 hours,2,5,1,More than 9 hours,5,5,More than 12 hours,3,24,Male,Yes,0-15 minutes,5,Alone,Yes,,Studying
3.03,5th Semester,Computing,0,7,6-10 hours,76-100%,4,4,Rarely,6-8 times,9-12 hours,51-75%,Often,5,4,4,8-9 hours,4,4,9-12 hours,4,4,4,8-9 hours,4,4,9-12 hours,4,4,4,8-9 hours,4,4,9-12 hours,4,4,4,8-9 hours,4,4,9-12 hours,4,24,Male,No,61-90 minutes,4,Alone,No,"Lack of proper academic guidance, Poor time management",Studying
3.66,7th Semester,Engineering,0,10,11-15 hours,76-100%,5,5,"Yes, frequently",9-12 times,9-12 hours,76-100%,Very Often,4,4,4,8-9 hours,5,5,9-12 hours,3,5,3,More than 9 hours,5,4,9-12 hours,3,4,5,6-7 hours,3,3,6-8 hours,4,4,3,6-7 hours,3,3,6-8 hours,3,23,Male,No,16-30 minutes,5,Hostel,No,Personal/family issues,Studying
3,2nd Semester,Computing,2,7,11-15 hours,76-100%,4,4,Rarely,0-2 times,6-8 hours,51-75%,Very Often,3,4,5,8-9 hours,4,4,9-12 hours,4,2,2,8-9 hours,4,5,More than 12 hours,3,4,4,8-9 hours,4,5,9-12 hours,4,3,4,More than 9 hours,5,4,9-12 hours,4,23,Male,Yes,61-90 minutes,4,Hostel,No,"Financial problems, Difficulty understanding lectures, Personal/family issues",Studying
3.65,5th Semester,Computing,0,7,6-10 hours,51-75%,4,1,Rarely,6-8 times,3-5 hours,51-75%,Often,3,4,2,6-7 hours,5,3,6-8 hours,4,3,3,4-5 hours,4,3,3-5 hours,4,2,5,4-5 hours,2,1,0-2 hours,5,2,5,0-3 hours,1,1,0-2 hours,5,24,Male,No,16-30 minutes,4,Hostel,Yes,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Poor time management, Difficulty understanding lectures",Studying
3.96,8th Semester,Engineering,2,10,0-5 hours,76-100%,5,5,Rarely,9-12 times,6-8 hours,76-100%,Rarely,5,5,5,4-5 hours,4,2,0-2 hours,5,4,5,4-5 hours,4,1,0-2 hours,5,4,5,4-5 hours,4,1,0-2 hours,5,4,5,4-5 hours,4,1,3-5 hours,5,24,Male,No,0-15 minutes,5,Hostel,No,"Mental stress / burnout, Poor time management, Difficulty understanding lectures",Studying
2.89,4th Semester,Computing,0,3,6-10 hours,76-100%,3,3,"Yes, occasionally",6-8 times,3-5 hours,51-75%,Rarely,2,2,3,0-3 hours,3,1,6-8 hours,2,2,3,6-7 hours,3,3,6-8 hours,3,3,3,6-7 hours,3,3,6-8 hours,3,3,3,6-7 hours,3,3,6-8 hours,3,23,Male,Yes,31-60 minutes,3,With family,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Financial problems",Studying
2.8,7th Semester,Computing,0,2,6-10 hours,76-100%,2,5,"Yes, frequently",0-2 times,0-2 hours,0-25%,Very Often,5,4,3,6-7 hours,4,3,9-12 hours,4,5,4,6-7 hours,3,3,6-8 hours,4,4,4,6-7 hours,4,3,6-8 hours,4,5,4,6-7 hours,4,3,3-5 hours,4,24,Male,No,0-15 minutes,5,Shared apartment,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Poor time management, Difficulty understanding lectures",Studying
3.52,8th Semester,Computing,0,5,0-5 hours,76-100%,3,4,"Yes, occasionally",3-5 times,0-2 hours,51-75%,Often,5,2,2,4-5 hours,5,5,More than 12 hours,3,3,4,4-5 hours,4,5,6-8 hours,4,3,5,4-5 hours,4,5,6-8 hours,5,5,5,4-5 hours,4,5,6-8 hours,5,24,Male,Yes,0-15 minutes,4,With family,No,"Mental stress / burnout, Poor time management",Studying
3.55,8th Semester,Engineering,2,9,More than 20 hours,76-100%,4,5,Rarely,More than 12 times,More than 12 hours,76-100%,Very Often,4,4,3,4-5 hours,3,3,6-8 hours,3,3,5,4-5 hours,3,2,3-5 hours,4,1,5,0-3 hours,1,1,3-5 hours,5,1,5,0-3 hours,1,1,0-2 hours,5,22,Female,No,31-60 minutes,3,With family,Yes,"Mental stress / burnout, Poor time management, Difficulty understanding lectures, Personal/family issues",Studying
3.75,5th Semester,Computing,0,9,6-10 hours,51-75%,4,4,Rarely,3-5 times,3-5 hours,76-100%,Often,3,4,2,6-7 hours,4,5,9-12 hours,4,4,3,6-7 hours,4,4,6-8 hours,3,4,4,4-5 hours,4,3,0-2 hours,2,4,5,4-5 hours,3,2,0-2 hours,1,24,Male,No,31-60 minutes,4,Shared apartment,No,"Lack of proper academic guidance, Mental stress / burnout, Poor time management, Personal/family issues",Studying
3.35,5th Semester,Computing,1,10,0-5 hours,26-50%,4,4,"Yes, occasionally",3-5 times,0-2 hours,76-100%,Sometimes,2,2,4,6-7 hours,4,3,0-2 hours,5,1,4,8-9 hours,3,4,0-2 hours,4,2,5,6-7 hours,3,2,0-2 hours,3,3,5,4-5 hours,2,2,0-2 hours,5,25,Male,No,31-60 minutes,2,Shared apartment,Yes,"Mental stress / burnout, Financial problems, Poor time management, Difficulty understanding lectures, Personal/family issues",Studying
3.1,6th Semester,Engineering,0,5,0-5 hours,76-100%,5,5,"Yes, occasionally",More than 12 times,6-8 hours,76-100%,Often,5,4,3,6-7 hours,3,4,6-8 hours,3,4,4,8-9 hours,3,4,6-8 hours,4,5,5,6-7 hours,3,3,6-8 hours,4,5,5,6-7 hours,3,3,6-8 hours,5,24,Male,No,0-15 minutes,5,Hostel,No,Poor time management,Graduated
2.98,7th Semester,Computing,0,1,0-5 hours,76-100%,1,2,Rarely,3-5 times,0-2 hours,0-25%,Often,4,3,1,6-7 hours,4,4,6-8 hours,1,4,5,8-9 hours,4,3,6-8 hours,4,2,5,6-7 hours,2,3,6-8 hours,4,4,5,6-7 hours,4,3,6-8 hours,4,23,Female,Yes,61-90 minutes,4,With family,Yes,"Difficulty choosing subjects, Mental stress / burnout, Financial problems, Personal/family issues",Studying
2.9,7th Semester,Computing,1,2,0-5 hours,76-100%,2,2,Rarely,3-5 times,3-5 hours,0-25%,Very Often,5,5,5,4-5 hours,4,5,More than 12 hours,5,5,5,4-5 hours,4,5,9-12 hours,5,5,5,4-5 hours,3,5,3-5 hours,5,3,5,4-5 hours,3,5,3-5 hours,5,24,Male,Yes,61-90 minutes,5,Hostel,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Financial problems, Poor time management, Difficulty understanding lectures",Studying
2.7,8th Semester,Computing,1,5,6-10 hours,76-100%,3,3,"Yes, occasionally",3-5 times,6-8 hours,26-50%,Often,4,4,3,8-9 hours,3,3,3-5 hours,4,4,5,4-5 hours,2,3,3-5 hours,5,4,5,6-7 hours,3,3,3-5 hours,5,3,5,4-5 hours,2,2,3-5 hours,5,23,Female,No,31-60 minutes,2,Hostel,Yes,"Mental stress / burnout, Financial problems, Poor time management, Difficulty understanding lectures, Personal/family issues",Studying
3.31,6th Semester,Technology,1,2,0-5 hours,76-100%,1,3,"Yes, occasionally",3-5 times,3-5 hours,26-50%,Often,5,3,4,6-7 hours,4,3,6-8 hours,3,3,4,6-7 hours,4,3,6-8 hours,3,3,4,6-7 hours,4,3,6-8 hours,4,4,4,6-7 hours,4,4,3-5 hours,4,24,Male,No,16-30 minutes,5,Hostel,Yes,"Lack of proper academic guidance, Mental stress / burnout, Financial problems, Poor time management, Difficulty understanding lectures, Personal/family issues",Studying
2.4,8th Semester,Computing,1,2,0-5 hours,51-75%,2,3,"Yes, frequently",0-2 times,3-5 hours,0-25%,Very Often,4,3,5,6-7 hours,5,3,6-8 hours,4,3,4,6-7 hours,4,4,3-5 hours,4,4,4,6-7 hours,3,3,3-5 hours,4,3,3,4-5 hours,4,3,3-5 hours,4,24,Male,Yes,0-15 minutes,5,Shared apartment,No,"Difficulty choosing subjects, Mental stress / burnout, Poor time management",Studying
3,4th Semester,Medicine ,1,7,16-20 hours,76-100%,3,5,"Yes, occasionally",9-12 times,6-8 hours,51-75%,Very Often,4,3,4,6-7 hours,4,3,9-12 hours,3,3,4,6-7 hours,4,3,9-12 hours,3,4,5,4-5 hours,4,2,6-8 hours,3,4,5,4-5 hours,4,2,9-12 hours,4,24,Male,No,0-15 minutes,3,Alone,No,"Lack of proper academic guidance, Mental stress / burnout, Lack of study resources, Financial problems, Poor time management, Difficulty understanding lectures",Studying
2.6,7th Semester,Computing,4,6,6-10 hours,76-100%,3,3,"Yes, occasionally",3-5 times,0-2 hours,51-75%,Often,4,4,1,6-7 hours,5,3,6-8 hours,2,3,3,4-5 hours,3,3,3-5 hours,4,2,2,4-5 hours,4,3,6-8 hours,3,2,4,0-3 hours,2,2,3-5 hours,5,23,Male,Yes,61-90 minutes,4,With family,No,"Lack of proper academic guidance, Mental stress / burnout, Financial problems, Poor time management",Studying
3.33,8th Semester,Computing,0,3,6-10 hours,76-100%,2,4,Rarely,6-8 times,3-5 hours,26-50%,Very Often,4,3,5,8-9 hours,3,2,3-5 hours,5,1,5,0-3 hours,3,1,0-2 hours,5,1,5,0-3 hours,3,2,0-2 hours,5,3,5,0-3 hours,3,1,0-2 hours,5,23,Female,Yes,61-90 minutes,5,With family,Yes,"Lack of proper academic guidance, Mental stress / burnout",Studying
3.4,7th Semester,Engineering,0,9,0-5 hours,76-100%,5,5,"Yes, occasionally",3-5 times,0-2 hours,76-100%,Sometimes,4,4,1,6-7 hours,3,3,More than 12 hours,2,3,2,6-7 hours,3,3,More than 12 hours,3,3,2,6-7 hours,3,3,9-12 hours,4,5,4,6-7 hours,4,4,6-8 hours,4,24,Male,No,0-15 minutes,4,Hostel,Yes,"Mental stress / burnout, Financial problems, Poor time management, Personal/family issues",Studying
3.2,8th Semester,Computing,0,8,6-10 hours,76-100%,4,3,"Yes, frequently",3-5 times,0-2 hours,26-50%,Often,4,4,2,8-9 hours,4,4,9-12 hours,3,4,2,6-7 hours,4,4,9-12 hours,4,3,2,8-9 hours,4,3,6-8 hours,3,4,4,6-7 hours,4,3,6-8 hours,3,24,Female,No,0-15 minutes,5,Hostel,No,"Lack of study resources, Poor time management",Studying
2.64,7th Semester,Computing,2,8,11-15 hours,76-100%,4,4,"Yes, occasionally",9-12 times,6-8 hours,51-75%,Often,5,5,1,6-7 hours,5,4,0-2 hours,3,4,3,6-7 hours,5,4,0-2 hours,4,5,3,6-7 hours,5,4,3-5 hours,3,5,3,6-7 hours,5,4,0-2 hours,3,24,Male,No,0-15 minutes,5,Shared apartment,No,Poor time management,Studying
3.72,8th Semester,Engineering,0,10,More than 20 hours,76-100%,5,5,Not at all,More than 12 times,More than 12 hours,76-100%,Very Often,5,5,5,More than 9 hours,5,5,More than 12 hours,5,5,5,More than 9 hours,5,5,More than 12 hours,5,5,5,More than 9 hours,1,1,3-5 hours,5,5,5,6-7 hours,4,4,9-12 hours,3,24,Male,No,61-90 minutes,5,Alone,No,Difficulty choosing subjects,Graduated
3.5,7th Semester,Computing,1,3,11-15 hours,76-100%,3,4,Rarely,3-5 times,3-5 hours,26-50%,Very Often,5,4,2,8-9 hours,5,5,9-12 hours,3,5,4,8-9 hours,5,4,6-8 hours,4,5,4,8-9 hours,5,4,6-8 hours,5,5,5,8-9 hours,4,4,6-8 hours,5,26,Male,Yes,61-90 minutes,5,With family,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Financial problems",Studying
2.59,7th Semester,Computing,0,7,6-10 hours,76-100%,5,5,"Yes, occasionally",6-8 times,3-5 hours,51-75%,Very Often,5,4,3,6-7 hours,4,3,3-5 hours,2,4,4,4-5 hours,3,3,0-2 hours,4,5,5,0-3 hours,3,4,0-2 hours,4,5,5,0-3 hours,5,4,0-2 hours,4,23,Male,Yes,31-60 minutes,5,With family,No,"Lack of proper academic guidance, Mental stress / burnout, Financial problems",Studying
2.79,4th Semester,Computing,0,7,0-5 hours,76-100%,4,4,"Yes, occasionally",3-5 times,3-5 hours,51-75%,Sometimes,4,4,2,8-9 hours,5,4,3-5 hours,4,3,2,6-7 hours,4,4,6-8 hours,4,4,3,6-7 hours,3,4,6-8 hours,4,4,3,4-5 hours,4,4,6-8 hours,4,25,Male,No,0-15 minutes,4,Shared apartment,No,"Lack of proper academic guidance, Mental stress / burnout, Difficulty understanding lectures",Studying
2.5,8th Semester,Computing,3,6,11-15 hours,76-100%,4,3,Rarely,6-8 times,0-2 hours,76-100%,Sometimes,5,3,5,4-5 hours,5,5,0-2 hours,3,1,5,4-5 hours,5,5,0-2 hours,5,1,5,4-5 hours,5,5,0-2 hours,5,1,5,0-3 hours,5,5,0-2 hours,5,24,Male,Yes,61-90 minutes,3,Alone,No,"Lack of proper academic guidance, Mental stress / burnout, Financial problems, Poor time management, Difficulty understanding lectures, Personal/family issues, ",Studying
2.8,7th Semester,Computing,0,6,6-10 hours,76-100%,3,3,Rarely,3-5 times,0-2 hours,51-75%,Very Often,5,4,5,4-5 hours,4,3,0-2 hours,3,3,4,4-5 hours,4,3,3-5 hours,4,3,5,0-3 hours,3,2,0-2 hours,3,5,5,0-3 hours,4,2,3-5 hours,3,28,Male,Yes,0-15 minutes,5,Hostel,No,"Difficulty choosing subjects, Mental stress / burnout, Poor time management",Studying
3.78,8th Semester,Engineering,1,8,11-15 hours,76-100%,5,4,"Yes, frequently",6-8 times,6-8 hours,51-75%,Often,5,4,4,6-7 hours,3,3,9-12 hours,5,5,4,6-7 hours,3,4,6-8 hours,5,3,4,6-7 hours,3,5,6-8 hours,4,2,3,8-9 hours,4,5,6-8 hours,3,24,Male,No,16-30 minutes,5,Shared apartment,No,Poor time management,Graduated
3.01,8th Semester,Computing,0,4,6-10 hours,76-100%,3,4,"Yes, occasionally",0-2 times,3-5 hours,26-50%,Often,4,3,5,6-7 hours,4,4,3-5 hours,3,3,4,6-7 hours,3,3,6-8 hours,4,3,3,4-5 hours,3,3,9-12 hours,4,2,3,6-7 hours,4,3,6-8 hours,3,25,Male,Yes,16-30 minutes,3,Hostel,No,"Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Poor time management",Studying
3.2,7th Semester,Computing,0,10,6-10 hours,76-100%,5,5,Rarely,6-8 times,3-5 hours,76-100%,Often,5,3,3,6-7 hours,3,3,3-5 hours,3,4,4,6-7 hours,3,2,0-2 hours,4,5,5,6-7 hours,3,2,0-2 hours,4,5,5,6-7 hours,3,2,0-2 hours,3,25,Male,No,0-15 minutes,4,Hostel,Yes,"Lack of proper academic guidance, Mental stress / burnout, Poor time management, Difficulty understanding lectures",Studying
2.98,8th Semester,Computing,0,0,0-5 hours,76-100%,1,1,Rarely,0-2 times,0-2 hours,0-25%,Rarely,4,2,1,4-5 hours,4,5,0-2 hours,3,3,1,4-5 hours,4,5,0-2 hours,3,3,3,4-5 hours,4,5,0-2 hours,3,3,3,4-5 hours,4,5,0-2 hours,3,23,Male,Yes,61-90 minutes,4,Shared apartment,No,,Studying
2.7,8th Semester,Humanities & Sciences,1,8,6-10 hours,51-75%,4,2,Rarely,0-2 times,0-2 hours,26-50%,Often,3,4,5,6-7 hours,4,4,3-5 hours,5,4,5,6-7 hours,4,4,3-5 hours,5,3,4,6-7 hours,4,4,3-5 hours,4,3,5,6-7 hours,4,4,3-5 hours,3,25,Male,No,0-15 minutes,1,Hostel,Yes,"Mental stress / burnout, Poor time management, Difficulty understanding lectures",Studying
3.87,8th Semester,Business,0,8,6-10 hours,76-100%,4,4,"Yes, occasionally",More than 12 times,3-5 hours,76-100%,Often,5,5,3,4-5 hours,5,4,3-5 hours,3,5,3,0-3 hours,5,3,0-2 hours,4,5,5,0-3 hours,5,2,0-2 hours,5,5,2,0-3 hours,5,2,0-2 hours,2,24,Male,Yes,0-15 minutes,2,Hostel,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Financial problems, Difficulty understanding lectures, Personal/family issues",Studying
2.25,3rd Semester,Computing,4,7,6-10 hours,76-100%,3,3,"Yes, occasionally",3-5 times,0-2 hours,51-75%,Sometimes,3,3,2,6-7 hours,4,3,0-2 hours,3,3,3,6-7 hours,4,4,3-5 hours,4,3,3,6-7 hours,3,2,3-5 hours,3,3,2,4-5 hours,2,3,3-5 hours,2,24,Male,Yes,0-15 minutes,3,With family,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Financial problems, Poor time management, Difficulty understanding lectures, Personal/family issues",Studying
2.8,8th Semester,Computing,0,5,0-5 hours,76-100%,3,3,"Yes, occasionally",0-2 times,3-5 hours,51-75%,Often,5,4,3,4-5 hours,4,3,3-5 hours,5,3,4,4-5 hours,4,3,3-5 hours,4,3,4,4-5 hours,3,3,3-5 hours,3,3,3,4-5 hours,3,3,3-5 hours,4,25,Male,Yes,0-15 minutes,4,Hostel,Yes,"Difficulty choosing subjects, Mental stress / burnout, Poor time management",Studying
2.35,4th Semester,Computing,5 or more,5,11-15 hours,51-75%,4,4,Not at all,0-2 times,0-2 hours,51-75%,Very Often,5,3,4,8-9 hours,5,2,0-2 hours,4,3,4,6-7 hours,4,2,0-2 hours,4,2,4,4-5 hours,4,2,0-2 hours,3,2,4,8-9 hours,4,2,0-2 hours,4,24,Male,Yes,16-30 minutes,5,Shared apartment,Yes,Difficulty understanding lectures,Dropped Out
3.55,1st Semester,Humanities & Sciences,0,9,11-15 hours,76-100%,4,5,"Yes, occasionally",3-5 times,3-5 hours,76-100%,Often,5,4,2,6-7 hours,5,3,6-8 hours,4,3,3,6-7 hours,3,3,6-8 hours,4,2,4,4-5 hours,3,2,3-5 hours,4,4,5,4-5 hours,4,1,3-5 hours,5,20,Female,No,0-15 minutes,5,Hostel,No,"Lack of proper academic guidance, Difficulty understanding lectures",Studying
3.1,7th Semester,Computing,0,5,0-5 hours,51-75%,2,4,"Yes, occasionally",3-5 times,0-2 hours,76-100%,Often,4,4,2,8-9 hours,4,3,3-5 hours,3,4,3,8-9 hours,4,3,3-5 hours,3,3,4,6-7 hours,3,4,3-5 hours,5,4,5,6-7 hours,3,4,3-5 hours,4,25,Male,No,0-15 minutes,5,Hostel,No,"Difficulty choosing subjects, Poor time management",Studying
2.7,8th Semester,Computing,2,8,11-15 hours,76-100%,4,4,Rarely,9-12 times,6-8 hours,51-75%,Very Often,3,3,3,6-7 hours,3,3,9-12 hours,4,3,4,6-7 hours,3,3,6-8 hours,4,4,4,6-7 hours,3,3,9-12 hours,3,3,4,6-7 hours,3,4,6-8 hours,3,25,Male,No,16-30 minutes,5,Shared apartment,No,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Financial problems, Poor time management, Difficulty understanding lectures",Graduated
2.6,8th Semester,Engineering,5 or more,9,0-5 hours,76-100%,4,5,"Yes, occasionally",6-8 times,0-2 hours,76-100%,Often,5,1,5,4-5 hours,2,2,3-5 hours,5,1,5,4-5 hours,2,2,3-5 hours,5,2,5,4-5 hours,2,2,3-5 hours,5,2,5,4-5 hours,2,2,3-5 hours,5,24,Male,Yes,0-15 minutes,5,Alone,Yes,"Mental stress / burnout, Financial problems, Poor time management, Difficulty understanding lectures, Personal/family issues",Studying
3.85,8th Semester,Computing,0,7,11-15 hours,76-100%,4,4,"Yes, frequently",More than 12 times,6-8 hours,76-100%,Very Often,3,4,3,8-9 hours,4,3,6-8 hours,2,5,3,6-7 hours,3,2,6-8 hours,3,3,2,8-9 hours,3,3,6-8 hours,3,2,3,6-7 hours,2,3,3-5 hours,3,24,Male,Yes,More than 90 minutes,5,Alone,Yes,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Lack of study resources, Financial problems, Poor time management, Difficulty understanding lectures, Personal/family issues",Graduated
