student_id,previous_GPA,attendance_rate,avg_course_grade,avg_course_interest,avg_job_demand,avg_risk,n_courses,domain_cnt_AI,domain_cnt_Agriculture,domain_cnt_Cybersecurity,domain_cnt_Data Science,domain_cnt_Electrical,domain_cnt_Energy,domain_cnt_Ethics,domain_cnt_Finance,domain_cnt_Healthcare,domain_cnt_Law,domain_cnt_Management,domain_cnt_Mechanical,domain_cnt_Networking,domain_cnt_Software Engineering,domain_cnt_Tourism,chosen_specialization
S00025,0.9594594594594594,0.7884615384615385,95.33333333333333,0.7558333333333334,0.5393864013266998,0.030000000000000002,29,1,6,3,5,2,2,2,1,1,2,2,0,5,3,1,Information Technology
S00026,0.44932432432432423,0.8846153846153847,56.873913043478254,0.7421739130434782,0.5308241401687216,0.41304347826086957,22,1,2,1,1,1,1,0,0,1,4,1,2,5,2,1,Business Management
S00027,1.0,0.9038461538461536,94.772,0.7095999999999999,0.5313432835820895,0.0248,24,2,4,2,1,3,1,1,1,2,3,0,1,2,1,1,Finance
S00028,0.4054054054054054,0.6153846153846154,57.224137931034484,0.7468965517241379,0.5800308800823469,0.42517241379310344,28,0,2,2,5,1,5,2,1,3,2,2,0,0,3,1,Artificial Intelligence
S00029,0.875,0.5769230769230771,90.456,0.7848,0.5367164179104477,0.0736,24,1,3,1,1,2,2,2,4,1,0,0,0,3,3,2,Renewable Energy
S00030,0.7364864864864866,0.8653846153846154,81.51724137931035,0.7475862068965518,0.5753988677303139,0.18310344827586206,29,2,3,1,3,3,2,2,4,1,2,2,1,1,1,1,Electrical Engineering
S00031,0.5067567567567568,0.6923076923076923,62.07142857142857,0.6721428571428572,0.4861407249466951,0.3710714285714286,25,0,4,0,3,1,4,1,1,1,1,3,0,7,0,2,Agriculture
S00032,0.1148648648648648,0.5192307692307692,36.73225806451613,0.7132258064516129,0.5825710158883005,0.66,29,3,1,2,1,2,4,0,5,1,6,4,1,0,0,1,Business Management
S00033,0.6182432432432432,0.4807692307692308,73.65,0.7159375,0.6035447761194029,0.276875,28,0,3,2,3,1,4,0,4,3,1,2,1,2,5,1,Mechanical Engineering
S00034,0.939189189189189,0.44230769230769235,92.76521739130435,0.7956521739130435,0.5133030499675535,0.049999999999999996,23,1,3,2,0,0,2,1,0,1,2,3,1,2,2,3,Tourism and Hospitality
S00035,0.5878378378378377,0.7307692307692308,72.44782608695652,0.7043478260869565,0.6210253082414017,0.3208695652173913,22,1,1,1,3,1,3,1,1,2,3,0,0,2,4,0,Electrical Engineering
S00036,0.9054054054054056,0.44230769230769235,91.83500000000001,0.7505,0.5850746268656717,0.048,19,1,1,0,2,0,1,1,1,2,2,3,2,4,0,0,Business Management
S00037,0.858108108108108,0.7115384615384615,89.25263157894737,0.7305263157894737,0.598586017282011,0.10947368421052632,19,1,0,0,3,0,3,1,1,0,4,1,1,3,1,0,Electrical Engineering
S00038,0.4966216216216215,0.8076923076923078,62.2,0.7780952380952381,0.5628997867803838,0.37523809523809526,20,1,0,0,0,2,2,1,1,2,5,1,1,2,2,1,Renewable Energy
S00039,0.695945945945946,0.5961538461538463,79.6375,0.6870833333333333,0.5404228855721392,0.23916666666666667,23,1,0,2,0,1,3,1,2,1,5,1,2,3,1,1,Agriculture
S00040,0.6722972972972971,0.6346153846153848,76.44516129032259,0.7490322580645161,0.49638902262879153,0.24741935483870967,29,0,5,1,3,3,1,4,2,3,1,3,0,1,2,2,Electrical Engineering
S00041,0.6824324324324325,0.8461538461538463,78.0875,0.754375,0.5727611940298507,0.22125,15,1,2,2,2,0,0,2,0,2,0,1,1,3,0,0,Mechanical Engineering
S00042,0.9290540540540542,0.4807692307692308,93.65172413793104,0.7920689655172414,0.5409161091096243,0.06379310344827586,25,0,0,2,1,1,1,3,1,3,1,5,1,4,4,2,Tourism and Hospitality
S00043,1.0,0.3269230769230771,96.46071428571429,0.7532142857142857,0.6076759061833689,0.024999999999999998,26,0,2,6,3,2,1,1,1,4,0,4,0,1,3,0,Nursing
S00044,0.6351351351351351,0.8269230769230771,74.34782608695652,0.7204347826086956,0.4964308890330954,0.27,22,0,2,0,1,1,2,0,3,1,3,3,0,5,0,2,Business Management
S00045,0.7094594594594595,0.5961538461538463,80.05652173913043,0.8073913043478261,0.6307592472420506,0.20478260869565218,21,0,1,1,4,2,1,0,1,3,1,3,1,1,3,1,Electrical Engineering
S00046,0.6283783783783783,0.6153846153846155,69.53571428571429,0.7167857142857142,0.5666311300639658,0.28071428571428575,25,1,1,2,2,4,2,1,4,2,1,2,0,1,3,2,Mechanical Engineering
S00047,0.564189189189189,0.8653846153846154,67.92413793103448,0.7217241379310345,0.6016469377251673,0.30724137931034484,25,1,1,3,3,2,4,0,2,2,2,1,2,6,0,0,Tourism and Hospitality
S00048,0.7229729729729731,0.5769230769230771,79.6125,0.7070833333333333,0.6131840796019901,0.2025,21,1,2,2,1,0,4,0,0,4,2,2,1,2,2,1,Tourism and Hospitality
S00049,0.8141891891891891,0.7692307692307692,87.01666666666667,0.7566666666666667,0.599502487562189,0.14666666666666667,22,0,2,4,2,0,3,0,2,3,0,1,2,2,3,0,Data Science
S00050,0.8006756756756757,0.826923076923077,82.65,0.778,0.5402985074626866,0.1125,20,1,1,1,3,0,0,1,3,2,2,1,2,2,0,1,Cybersecurity
S00051,0.5236486486486485,0.5961538461538463,65.54,0.7456,0.5582089552238806,0.3496,25,2,2,1,2,0,1,1,1,1,3,3,2,4,1,1,Data Science
S00052,0.7871621621621623,0.8269230769230772,81.12380952380951,0.7671428571428571,0.6098081023454158,0.15904761904761905,21,3,2,1,0,1,3,2,3,3,0,0,0,1,1,1,Cybersecurity
S00053,0.6587837837837838,0.7307692307692308,78.39714285714285,0.7188571428571429,0.5603411513859275,0.25085714285714283,33,0,2,0,5,0,8,0,1,3,2,1,1,4,2,6,Artificial Intelligence
S00054,0.8783783783783785,0.5961538461538463,91.98823529411764,0.7570588235294117,0.46180860403863033,0.09999999999999999,17,0,3,0,0,0,1,1,1,1,3,1,1,3,2,0,Mechanical Engineering
S00055,0.7533783783783783,0.6730769230769231,81.6970588235294,0.7058823529411765,0.617208077260755,0.18205882352941177,32,2,1,1,6,3,1,3,1,2,2,2,1,3,3,3,Agriculture
S00056,0.625,0.9230769230769228,70.74,0.7285,0.5701492537313433,0.27349999999999997,20,1,1,1,2,0,2,2,2,1,3,2,1,1,1,0,Agriculture
S00057,0.8006756756756757,0.8653846153846154,85.95384615384616,0.7888461538461539,0.5321469575200918,0.13846153846153847,24,0,2,1,3,1,1,1,0,0,4,3,3,3,4,0,Tourism and Hospitality
S00058,0.8817567567567568,0.7115384615384615,88.79428571428572,0.78,0.549680170575693,0.08257142857142857,32,4,2,1,2,6,1,2,5,2,2,2,0,3,2,1,Cybersecurity
S00059,0.7770270270270269,0.6538461538461537,85.20476190476191,0.7738095238095238,0.6624022743425728,0.17142857142857143,19,1,0,2,1,0,7,0,1,4,1,2,0,0,1,1,Law
S00060,0.7162162162162163,0.6923076923076923,80.64642857142857,0.6785714285714286,0.6082089552238806,0.20321428571428574,26,0,1,3,4,2,3,1,3,2,4,1,0,4,0,0,Computer Science
S00061,0.679054054054054,0.8269230769230771,72.9342857142857,0.6894285714285714,0.5931769722814498,0.2217142857142857,33,0,2,3,5,1,4,2,1,2,2,3,0,3,5,2,Artificial Intelligence
S00062,0.5236486486486485,1.0,65.36111111111111,0.7066666666666667,0.6600331674958541,0.3422222222222222,15,3,1,2,1,0,2,0,2,2,2,0,0,2,0,1,Renewable Energy
S00063,0.4932432432432431,0.4807692307692308,64.91,0.7046666666666667,0.5606965174129354,0.36666666666666664,29,0,3,1,3,3,3,2,0,2,5,4,0,1,3,0,Law
S00064,0.8581081081081081,0.8653846153846154,91.23809523809524,0.7233333333333333,0.5756929637526652,0.1061904761904762,19,2,0,0,2,2,2,1,0,3,1,2,3,2,1,0,Computer Science
S00065,0.7668918918918919,0.8269230769230771,79.81142857142858,0.7688571428571429,0.4690831556503198,0.1702857142857143,35,0,7,2,2,2,2,0,0,2,5,4,2,4,1,2,Electrical Engineering
S00066,0.6587837837837838,0.5384615384615385,74.68571428571428,0.7966666666666666,0.5707178393745558,0.2342857142857143,21,0,1,0,3,3,4,0,1,1,2,2,1,1,1,1,Finance
S00067,0.6756756756756757,0.5769230769230772,76.27142857142857,0.7253571428571428,0.5543710021321961,0.22678571428571428,28,3,5,1,3,2,1,1,1,4,0,1,1,2,1,2,Tourism and Hospitality
S00068,0.8277027027027029,0.6923076923076923,87.29130434782608,0.7626086956521739,0.5756002595717067,0.10086956521739132,22,0,1,4,1,1,2,2,3,2,0,2,3,1,1,0,Business Management
S00069,0.5236486486486485,0.6538461538461537,65.48181818181818,0.7563636363636363,0.49050203527815467,0.3618181818181818,22,0,2,1,0,1,1,4,0,2,3,2,1,2,1,2,Medicine
S00070,0.7331081081081082,0.5961538461538463,81.925,0.71125,0.5939054726368159,0.22041666666666668,24,2,0,1,1,0,1,2,2,3,4,4,0,3,1,0,Data Science
S00071,0.5236486486486485,0.75,67.76071428571429,0.7882142857142858,0.585820895522388,0.36,28,1,1,2,4,1,3,1,1,5,0,2,3,0,1,3,Computer Science
S00072,0.7027027027027029,0.6153846153846154,77.684375,0.745625,0.5555037313432836,0.221875,31,0,0,2,1,3,7,2,1,3,3,5,0,3,2,0,Mechanical Engineering
S00073,0.5810810810810809,0.75,67.43703703703703,0.7433333333333333,0.6086235489220564,0.32407407407407407,25,3,2,3,0,1,4,0,1,2,4,1,2,1,2,1,Tourism and Hospitality
S00074,0.41891891891891875,0.44230769230769235,52.970000000000006,0.756,0.5649253731343283,0.453,20,1,0,2,0,1,1,2,2,0,2,2,2,2,3,0,Tourism and Hospitality
S00075,0.5405405405405406,0.6730769230769231,66.3037037037037,0.8011111111111111,0.5671641791044776,0.3451851851851852,26,1,2,2,1,2,3,0,3,3,1,2,1,4,0,2,Artificial Intelligence
S00076,0.7162162162162162,1.0,79.19583333333334,0.6491666666666667,0.585820895522388,0.19958333333333333,22,3,3,1,0,0,4,1,2,2,1,2,0,3,2,0,Computer Science
S00077,0.8074324324324325,0.6730769230769231,88.94285714285714,0.7138095238095238,0.5835110163468372,0.1461904761904762,20,3,3,3,1,0,1,1,2,2,1,1,1,1,0,1,Cybersecurity
S00078,0.6587837837837838,0.5192307692307692,76.81923076923077,0.7334615384615385,0.5878300803673938,0.24884615384615383,25,2,2,1,3,6,4,0,1,0,3,1,0,2,1,0,Medicine
S00079,0.6587837837837838,0.6538461538461537,74.82972972972972,0.7389189189189189,0.5550625252117789,0.262972972972973,37,2,3,3,3,2,5,2,2,1,2,2,3,3,1,3,Artificial Intelligence
S00080,0.7162162162162162,0.5576923076923077,79.14,0.7485,0.5559701492537312,0.2165,19,2,3,1,2,0,1,1,0,1,2,0,0,3,4,0,Artificial Intelligence
S00081,0.75,1.0,82.6258064516129,0.7316129032258064,0.5209436687530091,0.1964516129032258,31,0,2,3,1,2,1,2,1,2,4,3,2,6,1,1,Law
S00082,0.6452702702702702,0.7884615384615385,72.88275862068966,0.7293103448275862,0.5872362326299537,0.24862068965517242,27,2,3,2,2,1,5,0,1,2,1,2,0,5,1,2,Finance
S00083,0.7804054054054055,0.6346153846153848,83.31379310344828,0.7155172413793104,0.5836335563561502,0.16896551724137931,27,4,4,2,4,2,3,0,1,1,2,1,0,3,0,2,Data Science
S00084,0.6993243243243243,0.7115384615384615,78.87,0.7515000000000001,0.5820895522388059,0.2265,20,2,1,1,0,1,1,0,6,2,0,0,1,2,2,1,Electrical Engineering
S00085,0.679054054054054,0.5576923076923077,77.4921052631579,0.7463157894736842,0.5997643362136685,0.2131578947368421,36,2,1,3,5,2,3,1,2,3,2,2,1,5,4,2,Data Science
S00086,0.6655405405405406,0.8076923076923077,77.23529411764706,0.7076470588235294,0.5184372256365233,0.25470588235294117,30,4,5,2,3,1,1,3,0,2,4,2,0,5,0,2,Business Management
S00087,0.9087837837837838,0.9038461538461536,91.26774193548388,0.7619354838709678,0.5541646605681271,0.06806451612903225,30,1,2,3,1,3,2,2,2,3,2,4,2,1,2,1,Artificial Intelligence
S00088,1.0,0.5576923076923077,96.11904761904762,0.6742857142857143,0.5501066098081023,0.02095238095238095,21,0,2,1,1,2,5,0,0,1,2,3,0,3,1,0,Information Technology
S00089,0.8108108108108107,0.75,86.17777777777779,0.7811111111111111,0.5699281370923162,0.14296296296296296,24,1,2,0,4,1,1,1,2,4,2,3,0,3,1,2,Business Management
S00090,1.0,0.5576923076923077,95.9952380952381,0.7685714285714286,0.5991471215351812,0.011428571428571429,20,1,0,1,2,2,5,0,3,1,0,1,1,2,0,2,Tourism and Hospitality
S00091,0.5202702702702702,0.5961538461538463,68.5,0.719,0.5395522388059701,0.3355,20,0,3,2,2,0,1,0,3,1,2,1,1,4,0,0,Tourism and Hospitality
S00092,0.304054054054054,0.6153846153846154,45.98235294117647,0.7282352941176471,0.5645302897278315,0.49294117647058827,16,0,1,0,2,1,0,1,0,4,4,1,1,1,0,1,Business Management
S00093,0.5337837837837838,0.75,67.51071428571429,0.7257142857142858,0.5628997867803838,0.32392857142857145,27,2,1,3,1,1,1,2,1,2,2,2,1,4,2,3,Nursing
S00094,0.7195945945945945,1.0,79.39333333333335,0.6880000000000001,0.5273631840796019,0.202,28,0,1,1,1,1,3,2,6,3,2,4,1,3,2,0,Mechanical Engineering
S00095,0.8243243243243243,0.5961538461538463,85.77307692307691,0.755,0.5505166475315729,0.115,22,1,4,0,5,2,2,1,2,1,2,1,0,3,1,1,Nursing
S00096,0.5101351351351351,0.8076923076923078,66.94583333333334,0.7841666666666667,0.5167910447761194,0.35833333333333334,23,3,2,1,0,1,2,0,1,2,3,2,0,3,1,3,Medicine
S00097,0.4391891891891891,1.0,59.170967741935485,0.7367741935483871,0.5233509870004814,0.4270967741935484,28,0,2,1,1,0,2,3,8,0,5,2,2,2,2,1,Computer Science
S00098,0.8614864864864864,0.6153846153846154,91.91538461538462,0.7696153846153846,0.49598163030998854,0.10076923076923078,25,0,3,3,0,3,2,1,4,1,1,2,1,2,0,3,Computer Science
S00099,0.3716216216216216,0.9807692307692307,52.36538461538461,0.7011538461538461,0.560849598163031,0.45769230769230773,25,2,1,1,2,1,1,1,2,3,4,5,0,3,0,0,Tourism and Hospitality
S00100,0.6418918918918919,0.9423076923076924,71.35600000000001,0.7128,0.47940298507462686,0.2596,25,0,3,1,2,0,1,0,4,1,3,3,1,2,2,2,Agriculture
S00101,0.39189189189189183,0.5961538461538461,56.40714285714286,0.7642857142857142,0.5031982942430704,0.45,27,2,2,0,2,2,2,1,1,1,3,2,0,5,1,4,Cybersecurity
S00102,0.6621621621621623,0.7115384615384615,74.0,0.7228,0.5337313432835821,0.23800000000000002,24,2,3,1,2,3,1,1,0,4,0,2,2,2,0,2,Data Science
S00103,0.5844594594594594,0.826923076923077,70.89500000000001,0.7625,0.5208955223880597,0.302,19,1,2,1,3,0,1,0,1,0,1,2,0,4,2,2,Agriculture
S00104,0.48310810810810806,0.6923076923076923,60.160869565217396,0.6873913043478261,0.5587280986372485,0.388695652173913,21,3,1,1,1,2,1,0,4,0,2,1,1,4,0,2,Artificial Intelligence
S00105,0.6824324324324325,0.8076923076923077,76.57391304347826,0.7643478260869566,0.5983127839065542,0.2360869565217391,21,1,1,1,4,1,1,1,0,3,0,2,1,4,0,3,Data Science
S00106,0.7837837837837838,0.5,84.86363636363636,0.66,0.6295793758480325,0.1690909090909091,19,2,1,2,4,3,1,1,1,0,1,1,0,2,3,0,Information Technology
S00107,0.402027027027027,0.9615384615384616,54.61578947368421,0.7031578947368421,0.591516103692066,0.4342105263157895,18,1,2,2,2,2,4,0,0,0,0,1,0,2,2,1,Data Science
S00108,0.7195945945945945,0.5769230769230771,79.10000000000001,0.7245454545454546,0.5621890547263682,0.21666666666666667,31,1,4,2,2,3,4,3,3,2,4,3,0,1,1,0,Mechanical Engineering
S00109,0.9256756756756755,0.7307692307692308,91.53200000000001,0.7296,0.577910447761194,0.0576,25,1,3,0,2,1,1,1,2,5,0,2,1,3,3,0,Electrical Engineering
S00110,0.8614864864864864,0.7307692307692308,90.62424242424242,0.8009090909090909,0.6033469018543645,0.10181818181818181,29,4,2,3,3,1,2,1,3,2,0,3,1,4,2,2,Data Science
S00111,1.0,1.0,96.23333333333333,0.7266666666666667,0.5892758430071863,0.019629629629629632,25,1,0,2,0,1,4,0,3,2,5,3,2,3,1,0,Business Management
S00112,0.6216216216216215,0.9038461538461536,70.078125,0.7875,0.5410447761194029,0.2821875,29,3,3,1,2,2,3,3,1,1,3,1,1,4,2,2,Cybersecurity
S00113,0.7702702702702702,0.9807692307692308,84.99285714285715,0.6732142857142858,0.5756929637526652,0.16535714285714284,28,1,1,4,3,3,2,2,1,1,4,0,1,3,1,1,Computer Science
S00114,0.4999999999999999,0.8461538461538463,67.16,0.7553333333333333,0.545273631840796,0.35966666666666663,27,1,4,1,1,1,4,0,2,2,2,2,1,6,2,1,Information Technology
S00115,0.8412162162162161,0.3653846153846154,88.14500000000001,0.6995,0.5805970149253732,0.10600000000000001,18,2,1,0,0,0,3,3,1,0,2,0,1,2,3,2,Artificial Intelligence
S00116,0.4628378378378379,0.3269230769230771,59.62173913043478,0.8043478260869565,0.5743024010382868,0.3869565217391305,22,0,2,3,2,3,1,0,0,3,2,4,2,0,0,1,Cybersecurity
S00117,0.6182432432432432,0.8461538461538463,71.59545454545456,0.7486363636363635,0.5156037991858887,0.2822727272727273,21,1,2,1,0,4,1,0,2,1,3,1,1,4,0,1,Nursing
S00118,0.9155405405405406,0.7307692307692308,92.10625,0.744375,0.5802238805970149,0.07375,16,2,1,2,2,0,2,1,1,1,0,1,1,0,0,2,Finance
S00119,0.9358108108108107,0.4423076923076923,92.72222222222223,0.7166666666666667,0.538971807628524,0.05962962962962964,27,3,2,1,3,0,1,1,1,1,4,3,0,3,2,2,Agriculture
S00120,0.37499999999999994,0.6923076923076923,54.38695652173912,0.7021739130434782,0.5243348475016223,0.44739130434782604,21,0,3,1,1,0,4,2,4,2,2,1,0,0,2,1,Renewable Energy
S00121,0.7263513513513513,0.7115384615384615,80.97391304347826,0.7639130434782608,0.5035691109669046,0.2021739130434783,22,0,1,1,2,0,3,3,1,1,2,1,5,0,0,3,Mechanical Engineering
S00122,0.3141891891891891,0.6923076923076923,46.199999999999996,0.7382758620689656,0.5815748841996913,0.5079310344827587,24,0,0,2,2,0,7,2,2,3,6,0,2,2,0,1,Information Technology
S00123,0.4425675675675676,0.8461538461538463,59.28636363636363,0.8154545454545455,0.5013568521031208,0.41818181818181815,22,1,2,2,0,2,3,3,0,1,3,4,0,1,0,0,Computer Science
S00124,0.722972972972973,0.5384615384615385,82.32608695652173,0.7847826086956522,0.49837767683322515,0.19,21,0,1,1,2,2,0,0,2,1,2,6,1,3,1,1,Tourism and Hospitality
S00125,0.5743243243243243,0.5,66.86521739130436,0.7760869565217392,0.5489941596365996,0.3343478260869565,22,0,3,0,3,1,2,0,2,2,2,4,0,4,0,0,Nursing
S00126,0.6520270270270271,0.9038461538461536,71.76666666666667,0.6913333333333332,0.5104477611940298,0.2753333333333333,15,1,2,0,1,2,1,0,1,1,2,0,1,0,1,2,Computer Science
S00127,0.4966216216216215,0.8076923076923077,61.425,0.7655000000000001,0.5208955223880596,0.3815,18,1,2,0,1,0,2,0,2,2,3,5,0,1,0,1,Nursing
S00128,0.5709459459459458,0.5576923076923077,64.23214285714286,0.7585714285714286,0.47761194029850745,0.315,26,0,6,1,2,0,3,1,3,1,4,3,1,2,0,1,Cybersecurity
S00129,0.6452702702702702,0.5192307692307692,74.25833333333334,0.6804166666666666,0.4981343283582089,0.26708333333333334,21,0,4,1,2,2,2,2,1,2,2,2,0,4,0,0,Data Science
S00130,0.5675675675675675,0.4807692307692308,68.37407407407407,0.7633333333333333,0.5577667219458264,0.3277777777777778,27,0,0,4,0,2,1,1,1,4,2,2,1,5,1,3,Medicine
S00131,0.9932432432432431,0.7115384615384615,94.4,0.7662962962962964,0.5771144278606966,0.025185185185185185,24,4,2,1,1,2,0,0,3,2,2,1,1,4,2,2,Computer Science
S00132,0.5439189189189189,0.75,64.58888888888889,0.7570370370370371,0.5229408512990602,0.34111111111111114,27,1,3,0,2,2,2,0,2,2,2,0,2,5,1,3,Tourism and Hospitality
S00133,0.6418918918918919,0.6730769230769231,75.92608695652174,0.8017391304347826,0.517845554834523,0.2773913043478261,22,0,3,2,1,1,1,1,4,4,0,2,0,1,0,3,Cybersecurity
S00134,0.7668918918918919,0.8653846153846154,81.41428571428571,0.7980952380952382,0.527363184079602,0.1561904761904762,20,0,4,1,1,1,1,1,2,4,0,0,0,4,1,1,Electrical Engineering
S00135,0.5709459459459458,0.5961538461538463,69.35416666666667,0.8258333333333333,0.556592039800995,0.32083333333333336,24,3,4,1,4,1,0,1,0,2,0,3,0,3,0,2,Tourism and Hospitality
S00136,0.6148648648648647,0.2692307692307694,71.71818181818182,0.8104545454545454,0.576662143826323,0.2790909090909091,21,0,1,1,2,2,3,0,1,3,2,0,2,2,2,1,Business Management
S00137,0.40540540540540543,0.9807692307692308,54.36666666666667,0.6654166666666667,0.5534825870646766,0.43250000000000005,23,1,2,1,2,1,2,1,5,0,2,1,2,1,1,2,Data Science
S00138,0.939189189189189,0.6730769230769231,93.41818181818182,0.6866666666666666,0.5771144278606966,0.04575757575757576,30,3,2,4,1,1,3,2,2,3,5,2,0,3,1,1,Nursing
S00139,0.7601351351351351,0.7692307692307692,81.19999999999999,0.7222222222222222,0.5480928689883914,0.145,17,2,3,2,1,3,1,0,0,0,1,2,0,2,1,0,Nursing
S00140,1.0,0.9230769230769228,95.42121212121212,0.7212121212121212,0.5291723202170963,0.01606060606060606,31,3,2,2,2,1,3,0,3,1,3,4,2,2,1,4,Tourism and Hospitality
S00141,0.6418918918918919,0.5192307692307692,77.14117647058823,0.7417647058823529,0.6031606672519754,0.2697058823529412,31,2,4,4,3,2,3,1,3,4,2,0,0,4,2,0,Mechanical Engineering
S00142,0.39189189189189194,0.75,53.199999999999996,0.6995652173913044,0.5399091499026606,0.44782608695652176,21,0,3,2,3,1,2,1,1,0,1,0,1,6,2,0,Computer Science
S00143,0.5337837837837838,0.4423076923076923,65.51666666666667,0.7158333333333333,0.556592039800995,0.35125,23,0,0,2,3,0,4,0,2,2,1,1,3,2,1,3,Cybersecurity
S00144,0.5540540540540542,0.5,67.69565217391305,0.811304347826087,0.5262816353017521,0.31565217391304345,23,3,2,0,0,2,1,2,0,2,2,0,3,2,1,3,Tourism and Hospitality
S00145,0.9459459459459458,0.8846153846153846,93.736,0.7644,0.5217910447761194,0.0676,23,1,3,2,1,1,1,1,0,2,3,1,3,3,2,1,Data Science
S00146,0.6621621621621623,1.0,72.26666666666667,0.7938095238095237,0.5828002842928216,0.2480952380952381,19,0,0,1,2,1,2,1,3,2,1,1,2,1,3,1,Medicine
